"n","prev","prev_se","subgroup","meting","year"
1226,0.0570962479608483,0.00662932670756434,"6",2013,2013
1708,0.0556206088992974,0.00554720683499032,"6",2015,2015
1691,0.0532229450029568,0.00546046918721081,"6",2017,2017
1440,0.0638888888888889,0.0064468263259653,"6",2019,2019
1151,0.798436142484796,0.0118298027790093,"7",2003,2003
964,0.813278008298755,0.0125575265899163,"7",2005,2005
1240,0.748387096774194,0.0123280374999655,"7",2007,2007
1037,0.697203471552555,0.014274974416858,"7",2009,2009
1213,0.682605111294312,0.0133700620362236,"7",2011,2011
913,0.565169769989047,0.0164154165438027,"7",2013,2013
1152,0.519097222222222,0.0147270354916753,"7",2015,2015
1033,0.487899322362052,0.0155597614367854,"7",2017,2017
786,0.505089058524173,0.0178448408745678,"7",2019,2019
1291,0.358636715724245,0.0133531757932894,"8",2003,2003
1075,0.274418604651163,0.0136159423645019,"8",2005,2005
1260,0.196031746031746,0.0111884464896899,"8",2007,2007
1225,0.136326530612245,0.00980786031242628,"8",2009,2009
1326,0.131221719457014,0.00927575780557805,"8",2011,2011
1033,0.0542110358180058,0.00704857175410839,"8",2013,2013
1477,0.051455653351388,0.0057504547416253,"8",2015,2015
1503,0.0499001996007984,0.00561824648169046,"8",2017,2017
1259,0.0635424940428912,0.00687758308136639,"8",2019,2019
1050,0.800952380952381,0.012328041786856,"9",2003,2003
898,0.816258351893096,0.0129306811025901,"9",2005,2005
1151,0.748913987836664,0.0127872839914349,"9",2007,2007
985,0.698477157360406,0.0146298092643726,"9",2009,2009
1111,0.688568856885689,0.0138993092774401,"9",2011,2011
855,0.564912280701754,0.0169648484841878,"9",2013,2013
1084,0.52859778597786,0.0151685563941137,"9",2015,2015
972,0.494855967078189,0.0160449143963725,"9",2017,2017
725,0.521379310344828,0.018565358829436,"9",2019,2019
1728,0.360532407407407,0.011554076944759,"10",2003,2003
1376,0.291424418604651,0.0122547572015737,"10",2005,2005
1589,0.202013845185651,0.0100754162347831,"10",2007,2007
1402,0.144793152639087,0.00940135666808332,"10",2009,2009
1694,0.131050767414404,0.00820140969307304,"10",2011,2011
1302,0.065284178187404,0.00684865232263102,"10",2013,2013
1785,0.0593837535014006,0.00559554812440138,"10",2015,2015
1773,0.0575296108291032,0.00553156113321696,"10",2017,2017
1514,0.0673712021136063,0.00644424576882338,"10",2019,2019
1584,0.360479797979798,0.0120677732724413,"11",2003,2003
1333,0.299324831207802,0.0125480899755581,"11",2005,2005
1465,0.208191126279863,0.0106113527338894,"11",2007,2007
1354,0.147710487444609,0.00964606845390936,"11",2009,2009
1567,0.128908742820676,0.00846792757848704,"11",2011,2011
1161,0.0559862187769165,0.00674995287876143,"11",2013,2013
1658,0.063329312424608,0.00598321483435402,"11",2015,2015
1651,0.0569351907934585,0.00570452105884186,"11",2017,2017
1394,0.0674318507890961,0.00671888597747859,"11",2019,2019
1171,0.754910333048676,0.0125752681609787,"12",2003,2003
1006,0.775347912524851,0.0131649892653365,"12",2005,2005
1199,0.736447039199333,0.0127284728625988,"12",2007,2007
1034,0.682785299806576,0.0144800003668518,"12",2009,2009
1086,0.656537753222836,0.0144163224126023,"12",2011,2011
879,0.550625711035267,0.0167874640485819,"12",2013,2013
1123,0.51380231522707,0.0149213474495362,"12",2015,2015
1036,0.476833976833977,0.0155250564304846,"12",2017,2017
769,0.488946684005202,0.0180377867341756,"12",2019,2019
1417,0.352152434721242,0.0126931711655557,"13",2003,2003
1084,0.267527675276753,0.0134513458682534,"13",2005,2005
1384,0.190751445086705,0.010564861172817,"13",2007,2007
1097,0.137648131267092,0.0104069181100391,"13",2009,2009
1547,0.129282482223659,0.008533039130381,"13",2011,2011
1172,0.0614334470989761,0.00701708167609185,"13",2013,2013
1576,0.0552030456852792,0.00575453827432725,"13",2015,2015
1655,0.0580060422960725,0.00574768453212119,"13",2017,2017
1401,0.0642398286937901,0.00655270244703788,"13",2019,2019
1388,0.715417867435158,0.0121156153117923,"14",2003,2003
1166,0.72041166380789,0.0131488245352482,"14",2005,2005
1435,0.697560975609756,0.0121292913128438,"14",2007,2007
1219,0.638228055783429,0.0137683451167214,"14",2009,2009
1413,0.636942675159236,0.0127973611756352,"14",2011,2011
1076,0.530669144981413,0.0152211420757249,"14",2013,2013
1356,0.470501474926254,0.0135594859163693,"14",2015,2015
1277,0.435395458104933,0.013879978509423,"14",2017,2017
967,0.448810754912099,0.0160027062018893,"14",2019,2019
1733,0.361800346220427,0.0115461933904714,"15",2003,2003
1398,0.289699570815451,0.0121365922523373,"15",2005,2005
1600,0.20125,0.010026495153625,"15",2007,2007
1423,0.143359100491918,0.0092931348312401,"15",2009,2009
1742,0.131458094144661,0.00809822182950283,"15",2011,2011
1325,0.0656603773584906,0.00680706782390466,"15",2013,2013
1791,0.0603015075376884,0.00562641593483057,"15",2015,2015
1801,0.0577456968350916,0.0054980365855115,"15",2017,2017
1532,0.0672323759791123,0.00640012367202295,"15",2019,2019
1300,0.734615384615385,0.0122507677188467,"16",2003,2003
1078,0.744897959183674,0.0132830408132929,"16",2005,2005
1357,0.703758290346352,0.0123995241818956,"16",2007,2007
1148,0.650696864111498,0.0140769604424441,"16",2009,2009
1335,0.643445692883895,0.0131141720722364,"16",2011,2011
972,0.540123456790123,0.0159940162670088,"16",2013,2013
1274,0.474882260596546,0.0139961025650991,"16",2015,2015
1208,0.442880794701987,0.0142976234079976,"16",2017,2017
901,0.453940066592675,0.0165957987499686,"16",2019,2019
1577,0.358909321496512,0.01208297824309,"17",2003,2003
1332,0.29954954954955,0.0125555001376746,"17",2005,2005
1463,0.207792207792208,0.0106111021980964,"17",2007,2007
1353,0.147819660014782,0.00965258220839709,"17",2009,2009
1564,0.129156010230179,0.00848297136055706,"17",2011,2011
1158,0.0561312607944732,0.00676692745164146,"17",2013,2013
1651,0.0623864324651726,0.00595408520360454,"17",2015,2015
1648,0.0564320388349515,0.00568594512512451,"17",2017,2017
1384,0.0664739884393064,0.00669850661097419,"17",2019,2019
1269,0.736012608353034,0.01237868731346,"18",2003,2003
1013,0.75715695952616,0.0134792439681103,"18",2005,2005
1316,0.704407294832827,0.0125833391513165,"18",2007,2007
1092,0.657509157509158,0.0143668980372391,"18",2009,2009
1262,0.648177496038035,0.0134477999128612,"18",2011,2011
901,0.537180910099889,0.01662052211789,"18",2013,2013
1213,0.477328936521022,0.0143473535375677,"18",2015,2015
1129,0.450841452612932,0.01481515652238,"18",2017,2017
849,0.465253239104829,0.0171285601796927,"18",2019,2019
2740,0.451094890510949,0.00950794311127939,"19",2003,2003
2129,0.363550962893377,0.0104274629326046,"19",2005,2005
2567,0.290611608881963,0.00896334663382044,"19",2007,2007
2170,0.216129032258065,0.00883789969586867,"19",2009,2009
2755,0.188747731397459,0.00745653162935967,"19",2011,2011
2112,0.116477272727273,0.00698208839420725,"19",2013,2013
2786,0.106245513280689,0.00583917938297628,"19",2015,2015
2612,0.0941807044410413,0.00571608022121606,"19",2017,2017
2285,0.118161925601751,0.00675437475603311,"19",2019,2019
1287,0.710955710955711,0.0126410452453567,"20",2003,2003
1100,0.717272727272727,0.0135839841058793,"20",2005,2005
1346,0.694650817236256,0.0125580010292542,"20",2007,2007
1167,0.636675235646958,0.0140850114354314,"20",2009,2009
1311,0.638443935926774,0.0132743590465039,"20",2011,2011
1018,0.528487229862475,0.0156532132575046,"20",2013,2013
1288,0.475931677018634,0.0139212100766822,"20",2015,2015
1216,0.438322368421053,0.0142348286074612,"20",2017,2017
906,0.458057395143488,0.0165619819555501,"20",2019,2019
4402,0.553384825079509,0.00749384448527985,"50",2003,2003
3522,0.50198750709824,0.00842623487681437,"50",2005,2005
4232,0.446833648393195,0.00764327172798588,"50",2007,2007
3560,0.377808988764045,0.00812707028152294,"50",2009,2009
4375,0.349485714285714,0.00720947672126091,"50",2011,2011
3341,0.264890751272074,0.00763547584411378,"50",2013,2013
4322,0.232068486811661,0.00642210197011527,"50",2015,2015
4145,0.213027744270205,0.00636045115613609,"50",2017,2017
3486,0.22403901319564,0.00706285642082744,"50",2019,2019
